1,,Sangiovese,Italy,"You may know this grape by a more common name Chiante. Chiante is the wine growing region in Italy in Tuscany. This compliments any marinara sauce meal, even pizza!"
2,,Cabernet Sauvignon,World Wide,"The most common of the red grapes that grows in several wine growing regions of the world.  Grown in the Bordeaux region of France.   Cabernet Sauvignon is mixed with Merlot, and Cabernet Franc to produce their award winning wines.  Other wine growing regions include California."
